id,PARTY,PARTYNM,AREA,PERSON,OUTSTANDINGAMT
310,388,"MANSUKH BHAI (PARMESHWAR), H-PARMESHVAR NAMKIN BARDOLI",BARDOLI,DHIRENBHAI,65725
311,389,"MADANLAL MOHANLAL, CHALTHAN",CHALTHAN,VIPULBHAI,43685
312,390,"MANOHAR TRADING (GANESH), KAPODRA",KAPODRA CHAR RASTA D,VIPULBHAI,42400
313,391,"MATESHWARI (BAJARANG) TRADING, KIM",KIM,DHIRENBHAI,10000
314,393,"MUNNA NAMKIN, CHIKUVADI",NANA VARACHHA,VIPULBHAI,47160
315,394,"MAHALAXMI TRADERS, KAMREJ",KAMREJ,VIPULBHAI,176861
316,395,"MATESHWARI NAMKEEN, KIM",KIM,DHIRENBHAI,128238
317,396,"MUKESH BHAI LADU VALA, BARDOLI",BARDOLI,DHIRENBHAI,18400
318,397,"MAMADEV TRADERS (DINDOLI), NAVAGAM   (Unclear Cheque :      60000)",NAVAGAM,NITINBHAI 2,461169
319,398,"M.V TRADERS, PALANPUR PATIYA   (Unclear Cheque :     102000)",PALANPUR PATIYA,NITINBHAI 1,442899
320,399,"MARUTI TRADING, ANJALI SOC",ANJALI SOCIETY,VIPULBHAI,0
321,401,"MAHASAGAR FOOD, KIM",KIM,KANBHAI,0
322,402,"MAHALAXMI SUPER, KIM",KIM,DHIRENBHAI,44275
323,403,"MAMATA TRADERS (AAZAD NAGAR), BHATAR ROAD",BHATAR ROAD,NITINBHAI 1,77045
324,404,"MARUTI PULSE MILL, KIM",KIM,KANBHAI,133970
325,405,"MAHESH TRADERS, UDHNA YARD",UDHNA YARD,NITINBHAI 2,643354
326,408,"MURALIDHAR FARSAN (MAHESHBHAI), SITARAM NAGAR",VIVEKANAND SOCIETY,VIPULBHAI,58200
327,409,"MAHAPRAGY PROVISION, RANG AVADHUT",KUBER NAGAR,VIPULBHAI,9000
328,411,"MAHADEV AGENCY (PARMESHWAR), NANA VARACHHA",NANA VARACHHA,VIPULBHAI,21451
329,412,"MAHAVEER KIRANA, UDHNA YARD",UDHNA YARD,NITINBHAI 2,25800
330,413,"MADHUBHAI, RAMNAGAR",PALANPUR PATIYA,NITINBHAI 1,-15120
331,414,"MAHALAXMI KIRANA (ANJANI GIDC), AMROLI",SAYAN,VIPULBHAI,0
332,415,"MANOJ MAHARAJ, MUKTIDHAM SOC",PUNA GAM,VIPULBHAI,0
333,416,"MOMAI TRADERS, NANA VARACHHA",NANA VARACHHA,VIPULBHAI,953446
334,417,"MADHURAM MART, KIM",KIM,DHIRENBHAI,50685
335,418,"MONPARA NAMKIN, SANIYA",PUNA GAM,VIPULBHAI,381060
336,421,"MAHASHAKTI SUPER STORE (KOSAD ROAD), MANISHA SOCA",AMROLI,VIPULBHAI,129765
337,422,"MATESHWARI TRADERS (BOB), UDHANA YARD",UDHNA YARD,NITINBHAI 2,0
338,425,"MAHALAXMI TRADERS (KENAL ROAD), AKASH GODADARA KAMREJ",KAMREJ,VIPULBHAI,44263
339,426,"MATESHWARI SUPER, MARUTI NAGAR   (Unclear Cheque :     154251)",UDHNA YARD,NITINBHAI 2,349885
